text_sentiment_roberta,text_sentiment_nltk,text_sentiment_textblob,text_sentiment_bert,label
0,1,1,0,0
0,-1,-1,0,0
-1,0,0,-1,0
1,1,1,0,0
0,1,1,-1,0
1,1,1,0,0
0,1,1,0,0
-1,1,0,0,0
-1,1,0,-1,0
1,1,1,0,0
1,1,1,0,0
-1,-1,1,0,0
0,1,1,0,0
-1,-1,0,-1,0
1,1,1,0,0
1,1,0,0,0
0,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0,0,1,0,0
0,1,1,0,0
0,1,1,0,0
-1,-1,1,0,0
1,1,1,0,0
-1,-1,1,-1,0
1,-1,1,0,0
1,1,1,0,0
-1,1,1,-1,0
0,0,1,0,0
0,1,1,0,0
0,-1,0,0,0
0,1,1,-1,0
1,1,1,0,0
1,1,0,0,0
1,1,1,0,0
0,0,0,0,0
0,-1,1,-1,0
0,1,1,-1,0
1,1,0,0,0
0,-1,0,0,0
1,-1,1,0,0
-1,-1,0,-1,0
0,1,1,0,0
0,-1,1,-1,0
0,1,0,0,0
0,0,0,-1,0
0,1,1,0,0
1,1,1,-1,0
1,1,1,-1,0
0,0,0,-1,0
-1,-1,0,-1,0
0,-1,1,0,0
1,1,1,0,0
0,0,1,0,0
0,-1,0,0,0
-1,1,1,-1,0
0,-1,1,-1,0
-1,-1,0,-1,0
0,1,0,-1,0
1,1,1,0,0
0,1,1,0,0
-1,-1,1,0,0
-1,-1,0,0,0
0,1,1,-1,0
0,1,-1,-1,0
0,-1,0,0,0
0,0,1,0,0
0,1,1,0,0
0,0,0,-1,0
-1,-1,1,0,0
0,1,-1,0,0
0,1,1,0,0
1,-1,1,0,0
0,1,1,0,0
1,1,1,-1,0
-1,-1,-1,-1,0
-1,-1,1,0,0
0,1,1,-1,0
-1,-1,0,-1,0
-1,1,0,-1,0
1,1,-1,0,0
0,-1,-1,0,0
1,1,0,0,0
0,-1,0,-1,0
0,1,0,-1,0
-1,1,0,-1,0
0,-1,1,0,0
0,1,1,0,0
1,1,1,-1,0
0,-1,1,0,0
0,-1,1,0,0
-1,-1,0,-1,0
-1,-1,-1,0,0
0,-1,1,0,0
-1,1,1,-1,0
0,1,1,0,0
0,-1,-1,0,0
0,-1,0,0,0
0,-1,0,-1,0
1,1,1,0,0
0,-1,1,0,0
1,1,0,0,0
1,1,1,-1,0
1,1,1,0,0
-1,-1,1,0,0
1,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,0,0,0
0,-1,0,0,0
1,1,1,-1,0
0,1,1,-1,0
0,1,0,0,0
1,-1,1,0,0
-1,-1,-1,-1,0
1,-1,1,0,0
0,1,0,-1,0
0,1,0,0,0
0,1,1,0,0
0,1,1,0,0
1,1,0,-1,0
1,1,1,-1,0
-1,1,1,0,0
